x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,Q_W_per_m,dP_Pa
7.235442e+00,4.117955e+00,6.088572e+00,7.026763e+00,5.374162e+00,7.545118e+00,7.363557e+00,7.729134e+00,3.927846e-01,4.353425e-01,3.964375e-01,4.956367e-01,4.924646e-01,4.311234e-01,3.059711e-01,4.146729e-01,1.246614e+04,7.179639e+03
5.131573e+00,7.277172e+00,4.270006e+00,5.476547e+00,6.039283e+00,4.782230e+00,4.403854e+00,4.741897e+00,4.597744e-01,3.837234e-01,4.078903e-01,3.504368e-01,3.895003e-01,3.453482e-01,4.695333e-01,3.945267e-01,1.351935e+04,1.031873e+04
5.879812e+00,4.856706e+00,5.737420e+00,5.547161e+00,6.766564e+00,5.849668e+00,7.538856e+00,7.149360e+00,3.563583e-01,4.850592e-01,3.561867e-01,3.924387e-01,4.710366e-01,3.913065e-01,4.838448e-01,3.747445e-01,1.267021e+04,7.838864e+03
7.987555e+00,7.514031e+00,7.935367e+00,7.950037e+00,5.570236e+00,6.602772e+00,4.701211e+00,4.130738e+00,4.893623e-01,3.335672e-01,4.425861e-01,4.599344e-01,3.736114e-01,4.820388e-01,3.421584e-01,4.418786e-01,1.362979e+04,8.039004e+03
6.499056e+00,5.946753e+00,4.863687e+00,4.624848e+00,4.598398e+00,7.462581e+00,6.654313e+00,5.379882e+00,4.044829e-01,3.513748e-01,4.868955e-01,4.428268e-01,4.440173e-01,3.081165e-01,3.987446e-01,3.115292e-01,1.342489e+04,1.081463e+04
4.383440e+00,6.666396e+00,6.557268e+00,6.878191e+00,7.800657e+00,4.209582e+00,5.616974e+00,6.400322e+00,3.499930e-01,4.061188e-01,3.236823e-01,3.095348e-01,3.472722e-01,4.185507e-01,4.255877e-01,4.788800e-01,1.344466e+04,9.431849e+03
4.149050e+00,4.318889e+00,4.613337e+00,7.536368e+00,4.191150e+00,4.533081e+00,7.873527e+00,7.336260e+00,3.746034e-01,3.987776e-01,3.014833e-01,3.374500e-01,3.564007e-01,3.141146e-01,3.177138e-01,3.524843e-01,1.274042e+04,7.943170e+03
6.233445e+00,7.036686e+00,6.807374e+00,5.962532e+00,7.395146e+00,7.795724e+00,4.898186e+00,4.317647e+00,4.790993e-01,4.441164e-01,4.879390e-01,4.164383e-01,4.600735e-01,4.123418e-01,4.562752e-01,4.321061e-01,1.311832e+04,8.085927e+03
7.721944e+00,5.471403e+00,5.987774e+00,6.604184e+00,6.429230e+00,6.154547e+00,6.945008e+00,5.066752e+00,4.147509e-01,4.650791e-01,4.321919e-01,4.870504e-01,3.332382e-01,3.849053e-01,4.028154e-01,3.142689e-01,1.297144e+04,8.496738e+03
5.645422e+00,6.126638e+00,7.685258e+00,4.896679e+00,5.219322e+00,5.392044e+00,5.795364e+00,6.087201e+00,3.317407e-01,3.166820e-01,3.690353e-01,3.668264e-01,4.362250e-01,4.886259e-01,3.728474e-01,4.941075e-01,1.383772e+04,1.058075e+04
5.397217e+00,5.741434e+00,6.338708e+00,4.063973e+00,5.961282e+00,4.459463e+00,6.144721e+00,5.552770e+00,4.343790e-01,4.145022e-01,4.169411e-01,3.776028e-01,3.048707e-01,4.497194e-01,3.870492e-01,4.743406e-01,1.316958e+04,1.135653e+04
7.469799e+00,6.894655e+00,4.019625e+00,6.434686e+00,6.639922e+00,7.212219e+00,5.122994e+00,6.542086e+00,3.173831e-01,3.660383e-01,3.787311e-01,4.700737e-01,4.022757e-01,3.269325e-01,4.388930e-01,3.414594e-01,1.366455e+04,9.137838e+03
6.981789e+00,4.581084e+00,7.216439e+00,5.013736e+00,7.668392e+00,6.853379e+00,7.044907e+00,7.791044e+00,3.762660e-01,3.497631e-01,3.480405e-01,4.280028e-01,3.785365e-01,4.508571e-01,4.955892e-01,4.111641e-01,1.334041e+04,8.188598e+03
4.901333e+00,7.796989e+00,5.393970e+00,7.486864e+00,4.995556e+00,5.600519e+00,4.191650e+00,4.803798e+00,4.717762e-01,4.950352e-01,4.594366e-01,3.196867e-01,4.752546e-01,3.724790e-01,3.289020e-01,3.785058e-01,1.300612e+04,8.706895e+03
8.000000e+00,6.965983e+00,8.000000e+00,6.667342e+00,5.654856e+00,6.391834e+00,8.000000e+00,5.172435e+00,3.142396e-01,3.007852e-01,3.000000e-01,3.460578e-01,3.000000e-01,4.881470e-01,5.000000e-01,5.000000e-01,1.404078e+04,9.556338e+03
6.126910e+00,5.941313e+00,8.000000e+00,8.000000e+00,7.976395e+00,7.491502e+00,5.275426e+00,6.805110e+00,3.000000e-01,4.287006e-01,3.000000e-01,3.070054e-01,3.000000e-01,4.835417e-01,5.000000e-01,4.970909e-01,1.326466e+04,5.589694e+03
4.674471e+00,5.222441e+00,8.000000e+00,8.000000e+00,8.000000e+00,7.595978e+00,4.258597e+00,7.935705e+00,3.000000e-01,4.599082e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,5.000000e-01,5.000000e-01,1.286367e+04,4.993884e+03
8.000000e+00,7.175918e+00,8.000000e+00,8.000000e+00,7.785047e+00,7.308446e+00,5.225734e+00,6.800445e+00,3.000000e-01,3.881091e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.378046e-01,5.000000e-01,5.000000e-01,1.364100e+04,5.613860e+03
8.000000e+00,6.958825e+00,8.000000e+00,6.820223e+00,8.000000e+00,6.755071e+00,4.000000e+00,8.000000e+00,3.190354e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.423294e-01,5.000000e-01,4.922578e-01,1.392362e+04,8.278440e+03
8.000000e+00,6.997038e+00,8.000000e+00,4.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,4.000000e+00,3.218800e-01,3.000000e-01,3.000000e-01,3.344904e-01,3.000000e-01,3.000000e-01,5.000000e-01,3.858606e-01,1.443692e+04,1.100404e+04
8.000000e+00,6.806223e+00,8.000000e+00,5.698812e+00,8.000000e+00,5.659321e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.151443e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,3.000000e-01,1.418063e+04,8.462367e+03
8.000000e+00,7.274694e+00,8.000000e+00,8.000000e+00,8.000000e+00,7.975445e+00,4.000000e+00,8.000000e+00,3.000000e-01,4.569741e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.475345e-01,5.000000e-01,5.000000e-01,1.344883e+04,4.026431e+03
8.000000e+00,7.385263e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,3.000000e-01,5.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,4.697304e-01,1.334031e+04,3.831207e+03
8.000000e+00,7.563692e+00,8.000000e+00,6.922559e+00,8.000000e+00,7.255318e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.889510e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,3.000000e-01,1.383163e+04,5.736831e+03
8.000000e+00,7.020408e+00,8.000000e+00,4.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.452461e+04,9.838278e+03
8.000000e+00,7.310245e+00,8.000000e+00,6.099389e+00,8.000000e+00,6.620183e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.596307e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,3.000000e-01,1.398005e+04,7.646145e+03
8.000000e+00,7.879815e+00,8.000000e+00,8.000000e+00,8.000000e+00,6.317486e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.260595e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.403694e+04,5.791692e+03
8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,3.000000e-01,4.146543e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.295087e-01,3.000000e-01,1.370256e+04,2.941662e+03
8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.627487e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.397513e+04,3.133415e+03
7.744091e+00,5.368575e+00,7.811189e+00,5.069493e+00,7.381689e+00,7.512250e+00,6.686032e+00,7.517946e+00,3.511275e-01,3.056125e-01,4.163748e-01,4.138317e-01,4.237629e-01,3.422191e-01,4.567623e-01,4.730741e-01,1.377529e+04,8.023261e+03
7.733403e+00,6.751507e+00,7.033418e+00,5.637188e+00,6.714724e+00,6.573700e+00,5.290950e+00,6.068193e+00,3.421303e-01,3.312294e-01,3.605672e-01,3.766322e-01,3.731529e-01,3.825300e-01,3.885332e-01,4.658016e-01,1.389713e+04,9.526588e+03
8.000000e+00,7.375825e+00,8.000000e+00,5.278697e+00,8.000000e+00,8.000000e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.335752e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.427691e+04,6.858649e+03
8.000000e+00,7.194074e+00,8.000000e+00,5.952334e+00,8.000000e+00,4.000000e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.442973e+04,8.790626e+03
5.358059e+00,5.487822e+00,6.702441e+00,7.217548e+00,4.788409e+00,4.937473e+00,5.743650e+00,4.077281e+00,4.442934e-01,3.969228e-01,3.321166e-01,4.681504e-01,3.683834e-01,4.637968e-01,4.231431e-01,4.329791e-01,1.295249e+04,1.052778e+04
