case,dP_sim,dP_exp,err_dP%,Q_sim,Q_exp,err_Q%,wall_s,exit_A,simple_iters_A,outer_iters,converged,res_mass_legacy,res_mom,res_mass_local,res_mass_global,backflow_frac,mode,mom_tol
5,36730.73072989652,36260.139271255066,1.2978203286011882,1913.6519242473173,1891.0887712541967,1.193130292776073,0.39187390002189204,tol,201,3,False,0.0009266632436446434,0.00011443102960828923,7.48980099035014e-08,8.51180126420202e-07,0.0,f2@0.001,0.001
6,58806.9720446852,58702.7203898051,0.1775925445836832,2534.598353680041,2513.932051245854,0.8220708441162976,0.3750743999844417,tol,215,3,False,0.0009064224566962024,0.00015919711193433824,1.6771797883143385e-07,8.2468286510583e-07,0.0,f2@0.001,0.001
7,70689.5840781508,71067.29116766468,-0.5314781009772469,2622.823802131388,2605.674844153385,0.6581388317303682,0.38077280001016334,tol,218,3,False,0.0008940671639467574,0.00015986290926347613,2.039121343697106e-07,7.080582765133987e-07,0.0,f2@0.001,0.001
8,80864.57226722696,81996.5771881461,-1.380551432435626,2821.4724037342853,2795.7223192336955,0.9210530074262825,0.37759320001350716,tol,218,3,False,0.0008851833640042837,0.0001900826420048655,2.762362097451483e-07,6.91545594026856e-07,0.0,f2@0.001,0.001
9,92563.81338031839,94497.03459747173,-2.0458009347999897,2794.3452699000927,2783.1181653308736,0.4034002116429862,0.37672500003827736,tol,216,3,False,0.0008737231316734633,0.00019992953328997433,3.3738972482016515e-07,7.321313966717674e-07,0.0,f2@0.001,0.001
10,104314.88486043435,106605.26741914477,-2.148470346878096,2777.9954316184235,2775.7621661416856,0.0804559376152213,0.36792519997106865,tol,214,3,False,0.000862265443884538,0.00019629154314233584,3.7407832225006565e-07,6.260861028088985e-07,0.0,f2@0.001,0.001
11,116567.38040098784,118286.89393643984,-1.4536805204944887,2774.2332095769084,2779.9905934861486,-0.20710084137444215,0.37991939997300506,tol,211,3,False,0.0008496089454980311,0.00021787594511723016,4.751132661419098e-07,7.283686757697834e-07,0.0,f2@0.001,0.001
12,130531.51374480035,129212.5138101983,1.0207989115818474,2717.4922172017014,2535.868061142537,7.16220843040759,0.3723476000013761,tol,208,3,False,0.0008319614824761705,0.00021269355316175318,5.340622567245522e-07,5.409329682623381e-07,0.0,f2@0.001,0.001
13,145283.53796629448,140258.90562036054,3.5823980828241524,2703.568076792224,2726.9328912092415,-0.8568166269268349,0.38537740003084764,tol,206,3,False,0.0008125904549478635,0.0002376176203348353,6.960969217597393e-07,6.070127251252927e-07,0.0,f2@0.001,0.001
14,158841.17009739214,151917.0532262114,4.55782726437592,2618.231927410072,2648.0398253390736,-1.1256589739991874,0.35698739998042583,tol,205,3,False,0.0007975163730193838,0.0002286601566778025,7.419341220154716e-07,5.11081071709883e-07,0.0,f2@0.001,0.001
15,170952.8394883911,165066.9057230455,3.565786696953785,2515.6741552529543,2560.5242848083044,-1.7515994603701976,0.36369299999205396,tol,203,3,False,0.0007895349939450007,0.00021459900535154714,7.400651754735287e-07,5.655688281455076e-07,0.0,f2@0.001,0.001
16,181903.4392602642,178684.31775700935,1.8015691268623135,2425.717039143884,2481.340390100858,-2.24166547962865,0.3594382000155747,tol,201,3,False,0.0007860612118296092,0.00018335665982972945,6.443523449253744e-07,4.2484524549216035e-07,0.0,f2@0.001,0.001
1,1332.6598286928668,1149.126601742696,15.971541053164664,251.25288881725555,248.39861410269177,1.1490703057561285,0.5016332999803126,tol,247,3,False,0.0008410777988062998,8.252864005325598e-05,2.6285804467403254e-09,4.337037393213146e-08,0.0,f2@0.0001,0.0001
2,4911.486229814882,5195.172161611317,-5.460568446464117,631.5072747778826,621.0838013439777,1.6782716617869058,0.4887243999983184,tol,251,3,False,0.0009118561246122451,8.21547066341734e-05,9.459713057314363e-09,1.8486896292241828e-07,0.0,f2@0.0001,0.0001
3,10587.10927263648,11103.029520295204,-4.646661946774742,986.0128650676355,975.2318254909474,1.1054847980643792,0.4822767000296153,tol,251,3,False,0.0009316444289451095,8.475419345163723e-05,1.7583582163897275e-08,3.7658666426950183e-07,0.0,f2@0.0001,0.0001
4,17907.976707803264,18456.061714415126,-2.9696747610232554,1283.7914009451292,1269.09427565157,1.158079866526357,0.47224769997410476,tol,250,3,False,0.0009365144140102824,8.226064839856405e-05,2.2748106509901877e-08,5.174463573073832e-07,0.0,f2@0.0001,0.0001
5,36730.89561770309,36260.139271255066,1.2982750643244623,1913.6512285589165,1891.0887712541967,1.1930935050582574,0.47665730002336204,tol,249,3,False,0.0009266734459132368,8.902495797489836e-05,5.557345023480859e-08,5.495790834325743e-07,0.0,f2@0.0001,0.0001
