case,topo,side,mdot,Tin_C,Pin_MPa,Tout_C,Pout_MPa,Q_kW,dP_MPa,HB,done,T_mean_K,P_mean_Pa,T_other_K,rho,mu,cp,k,Pr,u,Re,f,T_wall_K,dT_streams_K,h,Nu,ok_dp,ok_dT,ok_hb,ok_done,Nu_cfd,gamma_Nu,metric,f_cfd,gamma_f,dP_gauge_MPa
13,Diamond,hot,0.17556528133903132,164.50769230769234,8.512038461538465,116.02179487179484,8.326794871794867,10.199564254107319,0.18524358974359778,0.13522930871810113,完成,413.4147435897436,8419416.666666666,398.2474358974358,124.28844791672839,2.22100032968882e-05,1213.8693516721905,0.03086935245203865,0.8733595025849148,2.3797110253982705,34612.228621958595,7.517021374786277,405.8310897435897,15.167307692307759,7998.788647855075,673.4725537505424,True,True,True,True,,,f,1.0356225699409696,7.258456500436011,
14,Diamond,hot,0.048290833333333345,191.66250000000005,8.340734374999998,113.69687500000002,8.326671874999999,4.506808933836173,0.014062499999999645,0.05119196006900227,完成,425.8296875,8333703.125,408.07578125,117.11600563443322,2.26249672941859e-05,1187.6928230981607,0.03147480580435851,0.8537466901357066,0.6946480143828972,9345.79584309628,7.10719928573266,416.952734375,17.75390625,3019.4394491744333,249.33684790089637,True,True,True,True,,,f,1.3307931942858837,5.340573814360729,
15,Diamond,hot,0.07417716553287984,199.14693877551025,8.524857142857144,127.44693877551019,8.490102040816327,6.290825491969785,0.03475510204081722,0.0484520692482956,完成,436.4469387755102,8507479.591836734,419.15714285714284,115.36273063663299,2.3068174485037228e-05,1178.2687360045047,0.03221388226925732,0.8437514163996112,1.0832309431111762,14079.802282103528,7.333186543818573,427.80204081632655,17.28979591836736,4327.8168299086565,349.1797129053894,True,True,True,True,,,f,1.2282742370922688,5.9703169881496905,
16,Diamond,hot,0.09870848039215688,193.5882352941177,8.483392156862744,123.1078431372549,8.418411764705883,8.250732228875231,0.06498039215686013,0.08675604878351884,完成,431.4980392156863,8450901.960784314,411.3627450980392,116.53286443178187,2.2869865810606103e-05,1183.145495370881,0.03188538321833014,0.8486138782863968,1.4269948144473075,18898.633356622937,7.821155548762126,421.43039215686275,20.13529411764705,4874.001016557752,397.29872718279796,True,True,True,True,,,f,1.1608094008747178,6.737674197735271,
17,Diamond,hot,0.12392348333333332,200.32200000000003,8.919799999999999,125.55000000000001,8.820799999999998,11.041597238468823,0.0990000000000002,0.08456119891370033,完成,436.086,8870299.999999998,412.571,120.99775221168956,2.3173175568347027e-05,1189.7785642115634,0.03244759553880553,0.8497069535693971,1.7254113898131187,23415.725069663153,7.849723835605588,424.3285,23.514999999999986,5585.190863323445,447.3821974160415,True,True,True,True,,,f,1.1145277871172885,7.04309387916545,
18,Diamond,hot,0.14916723794549266,196.99999999999997,9.038377358490566,123.30566037735852,8.899037735849058,13.152182270861237,0.1393396226415078,0.12931648744799246,完成,433.3028301886792,8968707.547169812,407.9632075471699,123.73000333233097,2.3107576873666587e-05,1196.9940807446533,0.03236281073279545,0.8546733769975532,2.0310226851740194,28265.6249162952,7.7974368099671745,420.63301886792453,25.339622641509322,6173.746264853161,495.821942333385,True,True,True,True,,,f,1.0756791893453403,7.248849738101472,
19,Diamond,hot,0.17643392156862744,164.2220588235294,9.021735294117649,116.64264705882351,8.845205882352943,10.242500852883937,0.17652941176470627,0.11596375428768783,完成,413.58235294117645,8933470.588235294,397.2036764705881,132.96638019546208,2.2412575395083825e-05,1234.7457980379395,0.03131722275348988,0.8836617956234446,2.2354069248076005,34469.094414899475,7.588288799719999,405.39301470588225,16.378676470588346,7438.379038409969,617.3312512536006,True,True,True,True,,,f,1.0364246870075888,7.321601747667013,
20,Diamond,hot,0.04846226068376068,222.50769230769237,8.496476923076926,126.07692307692311,8.479661538461539,5.489046141583366,0.016815384615387785,0.03286161315319011,其他,447.44230769230774,8488069.230769232,423.5930769230769,110.86732666969502,2.346461575265866e-05,1165.4688588148683,0.03286037954294599,0.8322265087668779,0.7364045182329344,9043.35901827944,7.9882591908194645,435.5176923076923,23.849230769230815,2737.62278087746,216.53306838589313,True,True,True,True,,,f,1.3395079485162007,5.963577296923259,
21,Diamond,hot,0.0742376754385965,215.35087719298247,8.565771929824562,126.14561403508776,8.529263157894734,7.801225952959445,0.03650877192982804,0.03880409585008908,完成,443.8982456140351,8547517.543859648,419.4526315789474,113.04196456382714,2.3352618691034005e-05,1170.6955992376818,0.03268430410918,0.8364506657674416,1.1063715989624594,13919.650354490834,7.535937666092648,431.67543859649123,24.445614035087715,3795.8846531536615,301.854019598804,True,True,True,True,,,f,1.2309941617172344,6.121830550016607,
22,Diamond,hot,0.09899833857442346,214.7867924528302,9.031905660377362,127.67358490566039,8.970433962264153,10.254582566193154,0.06147169811320907,0.08393725479956574,完成,444.3801886792453,9001169.811320757,417.6707547169811,119.47447766518617,2.351153592368541e-05,1182.7246909946962,0.03301339977433951,0.842314764617661,1.3959475998234216,18436.838657129552,7.5412553108149245,431.02547169811317,26.7094339622642,4566.720188517441,359.5318344406389,True,True,True,True,,,f,1.1663001531587525,6.465964434961741,
