x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,Q_W_per_m,dP_Pa
7.083910e+00,6.476830e+00,4.686227e+00,6.882534e+00,6.459029e+00,7.672041e+00,5.701662e+00,4.580121e+00,4.714268e+00,6.313669e+00,6.591910e+00,5.612276e+00,7.636986e+00,5.739365e+00,5.991068e+00,6.926640e+00,5.353428e+00,7.947453e+00,4.886959e-01,4.316185e-01,3.727824e-01,4.217487e-01,3.676085e-01,3.291340e-01,4.537530e-01,3.118126e-01,3.292526e-01,3.666222e-01,3.126822e-01,3.638773e-01,3.500622e-01,4.401336e-01,3.917874e-01,3.696256e-01,4.714525e-01,3.223168e-01,1.333186e+04,8.313333e+03
4.424547e+00,5.040309e+00,7.249945e+00,5.206595e+00,4.053770e+00,4.125363e+00,7.522854e+00,7.713220e+00,6.105146e+00,5.391039e+00,5.892058e+00,7.207906e+00,4.605350e+00,7.185943e+00,7.397707e+00,4.522422e+00,7.124611e+00,4.246900e+00,3.997922e-01,3.644569e-01,4.297370e-01,3.981981e-01,4.432073e-01,4.793862e-01,3.728839e-01,4.572356e-01,4.532120e-01,4.587210e-01,4.829083e-01,4.916740e-01,4.639427e-01,3.372356e-01,4.561703e-01,4.071584e-01,3.932967e-01,4.525452e-01,1.295452e+04,1.024508e+04
4.489874e+00,7.054553e+00,6.753315e+00,4.015403e+00,7.090647e+00,4.584643e+00,5.860076e+00,7.217930e+00,5.634963e+00,6.145018e+00,4.389515e+00,5.234341e+00,7.605408e+00,4.638843e+00,6.668731e+00,7.942711e+00,7.273892e+00,5.819279e+00,4.389710e-01,3.904375e-01,4.125927e-01,4.158789e-01,4.848304e-01,3.317728e-01,4.478459e-01,3.297877e-01,4.900183e-01,4.033486e-01,4.370542e-01,4.232529e-01,4.667744e-01,4.689871e-01,3.320442e-01,3.730008e-01,4.279097e-01,3.758191e-01,1.336044e+04,9.845167e+03
7.018499e+00,4.491075e+00,5.314601e+00,7.839841e+00,5.435389e+00,7.100434e+00,7.915347e+00,4.085404e+00,7.057556e+00,5.067511e+00,7.064174e+00,7.572183e+00,4.636998e+00,6.192715e+00,4.200551e+00,5.600841e+00,5.013693e+00,6.109449e+00,3.498968e-01,4.072114e-01,3.837128e-01,3.892219e-01,3.104092e-01,4.816305e-01,3.286911e-01,4.753812e-01,3.143194e-01,3.204290e-01,3.666297e-01,3.447980e-01,3.536750e-01,3.536927e-01,4.215736e-01,4.103749e-01,3.122302e-01,4.491129e-01,1.314263e+04,8.781626e+03
6.110206e+00,6.304991e+00,7.378133e+00,5.849222e+00,4.474038e+00,6.091392e+00,4.154411e+00,5.826404e+00,6.322799e+00,4.473665e+00,6.204782e+00,6.505952e+00,6.002051e+00,5.658896e+00,5.737204e+00,6.964438e+00,4.520399e+00,4.651625e+00,3.518423e-01,3.182987e-01,4.551475e-01,3.420301e-01,4.189913e-01,3.869450e-01,4.892774e-01,4.123777e-01,4.327313e-01,3.706663e-01,4.791143e-01,3.855985e-01,4.127136e-01,4.058101e-01,3.794556e-01,4.683948e-01,3.656012e-01,4.782661e-01,1.365182e+04,1.011968e+04
5.397986e+00,5.243466e+00,4.939907e+00,6.048465e+00,6.004327e+00,5.607305e+00,6.070292e+00,6.943732e+00,4.994416e+00,7.301112e+00,5.280123e+00,4.156269e+00,5.224363e+00,7.228327e+00,7.144041e+00,4.618658e+00,6.752509e+00,7.419563e+00,4.596912e-01,4.856130e-01,3.481928e-01,4.653668e-01,3.949488e-01,4.372002e-01,3.841834e-01,3.574581e-01,3.566663e-01,4.532120e-01,3.245147e-01,4.570435e-01,3.012043e-01,3.215591e-01,4.681062e-01,3.060451e-01,4.999231e-01,3.468720e-01,1.280844e+04,7.878661e+03
5.559038e+00,6.799221e+00,5.844359e+00,6.574882e+00,6.814061e+00,4.243733e+00,4.928565e+00,5.296407e+00,6.501431e+00,5.853496e+00,6.709134e+00,4.646108e+00,6.846289e+00,6.562795e+00,7.744698e+00,4.328297e+00,6.420914e+00,7.934930e+00,3.820261e-01,3.622480e-01,4.390823e-01,4.343886e-01,4.394829e-01,4.129464e-01,3.612936e-01,4.277856e-01,4.089361e-01,3.409021e-01,4.010496e-01,4.462850e-01,4.403793e-01,4.804021e-01,4.813196e-01,4.874973e-01,3.467251e-01,4.038363e-01,1.330272e+04,9.259479e+03
6.964006e+00,5.737694e+00,6.283066e+00,5.274014e+00,4.656850e+00,7.697150e+00,6.858638e+00,6.413910e+00,4.173540e+00,6.930316e+00,5.774708e+00,6.050293e+00,5.880124e+00,4.010951e+00,5.151401e+00,6.236549e+00,4.181118e+00,4.136459e+00,4.802810e-01,4.416654e-01,3.572238e-01,3.581161e-01,3.650821e-01,3.627125e-01,4.687132e-01,3.795318e-01,3.829015e-01,4.329762e-01,3.964451e-01,3.247384e-01,3.268650e-01,3.954027e-01,3.707514e-01,3.498302e-01,4.186040e-01,3.712651e-01,1.326432e+04,9.917908e+03
7.930711e+00,7.560508e+00,4.469543e+00,7.288033e+00,5.742316e+00,6.736986e+00,5.086379e+00,7.686099e+00,5.439267e+00,7.523979e+00,4.884070e+00,7.121529e+00,7.261169e+00,7.606278e+00,4.660828e+00,5.327082e+00,5.659729e+00,6.594653e+00,4.213132e-01,3.336053e-01,4.785604e-01,3.106298e-01,4.549437e-01,4.683202e-01,3.008206e-01,3.081297e-01,4.638075e-01,4.831066e-01,4.589789e-01,3.589287e-01,4.926304e-01,4.451427e-01,4.286345e-01,3.789197e-01,4.590317e-01,3.014016e-01,1.316339e+04,9.080471e+03
4.592149e+00,4.997028e+00,7.907762e+00,4.612093e+00,7.774557e+00,5.190280e+00,7.126544e+00,4.553520e+00,7.860401e+00,4.697097e+00,7.568495e+00,5.713315e+00,4.481236e+00,5.038757e+00,6.192546e+00,7.231423e+00,7.927623e+00,5.334040e+00,3.167841e-01,4.640450e-01,3.247797e-01,4.843632e-01,3.309209e-01,3.184716e-01,4.191764e-01,4.595574e-01,3.380904e-01,3.906709e-01,3.385586e-01,4.874792e-01,3.807548e-01,3.291016e-01,3.173827e-01,4.415624e-01,3.809127e-01,4.735183e-01,1.318982e+04,8.544138e+03
