x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,Q_W_per_m,dP_Pa
8.000000e+00,4.667750e+00,8.000000e+00,7.038102e+00,6.922279e+00,7.018085e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.155894e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.582770e+04,1.035528e+04
8.000000e+00,8.000000e+00,7.426721e+00,8.000000e+00,8.000000e+00,7.934174e+00,7.397197e+00,8.000000e+00,3.000000e-01,5.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,4.614068e-01,1.487919e+04,5.863308e+03
4.000000e+00,4.000000e+00,4.000000e+00,6.277586e+00,4.000000e+00,4.665365e+00,4.000000e+00,7.202818e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.675810e+04,1.675138e+04
4.509343e+00,4.000000e+00,8.000000e+00,6.792753e+00,5.499905e+00,5.708249e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.638300e+04,1.285256e+04
4.000000e+00,5.552662e+00,7.995353e+00,6.982230e+00,7.674206e+00,7.762082e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.575670e+04,9.064348e+03
4.000000e+00,6.507750e+00,7.983420e+00,7.313071e+00,8.000000e+00,8.000000e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.589454e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.357384e-01,3.000000e-01,1.552429e+04,8.153661e+03
4.000000e+00,7.161343e+00,7.812040e+00,7.673744e+00,8.000000e+00,7.889734e+00,5.363901e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,1.539078e+04,7.252064e+03
4.115706e+00,8.000000e+00,7.737232e+00,8.000000e+00,8.000000e+00,7.978537e+00,8.000000e+00,8.000000e+00,3.000000e-01,3.492388e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,5.000000e-01,1.513119e+04,6.111520e+03
7.381327e+00,5.214789e+00,6.672549e+00,6.517688e+00,5.530722e+00,7.676565e+00,7.675686e+00,4.937711e+00,5.000000e-01,3.361336e-01,3.234653e-01,3.000000e-01,3.864751e-01,3.310677e-01,3.869932e-01,3.000000e-01,1.581858e+04,1.222005e+04
4.000000e+00,4.000000e+00,8.000000e+00,7.042311e+00,6.806602e+00,6.873869e+00,6.049941e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.599566e+04,1.071915e+04
7.420313e+00,4.855500e+00,5.333752e+00,4.862797e+00,5.410483e+00,7.584020e+00,6.746038e+00,6.154687e+00,4.065147e-01,5.000000e-01,3.534631e-01,4.531623e-01,4.999184e-01,3.595476e-01,5.000000e-01,4.309881e-01,1.464397e+04,1.461234e+04
4.000000e+00,4.000000e+00,8.000000e+00,7.031669e+00,5.939549e+00,6.373690e+00,4.313777e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.621607e+04,1.220185e+04
7.365325e+00,6.405219e+00,6.632793e+00,7.082731e+00,4.892197e+00,6.048894e+00,4.667194e+00,5.854107e+00,3.070343e-01,3.302689e-01,4.684396e-01,4.994676e-01,4.025004e-01,3.000077e-01,4.183895e-01,4.724739e-01,1.535602e+04,1.281379e+04
4.000000e+00,4.000000e+00,8.000000e+00,6.619535e+00,8.000000e+00,4.000000e+00,4.000000e+00,8.000000e+00,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,3.000000e-01,1.648554e+04,1.347331e+04
7.760807e+00,6.802368e+00,5.106176e+00,5.348361e+00,7.327590e+00,5.687714e+00,5.988480e+00,4.679136e+00,4.512555e-01,3.540014e-01,4.562071e-01,4.435056e-01,3.461451e-01,3.613973e-01,3.658219e-01,4.043575e-01,1.523011e+04,1.490458e+04
6.736916e+00,4.787287e+00,5.711655e+00,4.191051e+00,6.903872e+00,6.464687e+00,6.821838e+00,6.361809e+00,3.449941e-01,4.628069e-01,3.395350e-01,3.547386e-01,4.351726e-01,3.654954e-01,4.674508e-01,4.995837e-01,1.532833e+04,1.679913e+04
