variant,topo,mdot,Re_ref,dp_meas,dp_pred_med,ape,lo68,hi68,lo95,hi95,in68,in95,choked_frac,n_loo,gamma_total_med
per_topo,Gyroid,0.009107660785340315,1727.6149083465832,13787.235496365782,14781.61764928011,0.07212338928833413,14064.555384367563,15611.654852208723,13319.609477084963,16578.53444885354,False,True,0.0,14,2.4823234610763882
per_topo,Gyroid,0.01366149117801047,2582.1960689994617,27921.858939620543,30187.419502725003,0.0811393169775554,28471.208768226756,32147.378484209486,26778.65954324441,34472.3571906084,False,True,0.0,14,2.480871037095492
per_topo,Gyroid,0.01821532157068063,3442.3565124922648,46042.5305387308,47523.213535644834,0.03215902730777332,44409.06034804873,50808.5474958493,41624.69097348321,55224.65832265607,True,True,0.0,14,2.4714600974331686
per_topo,Gyroid,0.02049223676701571,3843.187231836563,56046.62363444229,57373.17574585009,0.02366872481133003,53633.37629840865,61387.437412178,50250.76124612341,65993.13988168059,True,True,0.0,14,2.466404352867057
per_topo,Gyroid,0.022769151963350782,4271.345629767583,62309.807799404334,70593.60392504328,0.13294530055857653,66209.04179430673,75584.45260503894,61720.26326845114,81805.5655753792,False,True,0.0,14,2.4811609908449506
per_topo,Gyroid,0.02504606715968586,4748.848474728925,73641.04089177358,78268.37801578172,0.06283638943681832,72788.54124474975,84329.38762766625,67304.07506986742,91146.0809936529,True,True,0.0,14,2.470207011795278
per_topo,Gyroid,0.02732298235602094,5222.185771720302,83789.60198831873,86860.58461262092,0.03665111841359896,80288.6365544267,93416.81824567435,74655.73599540153,103081.54629296101,True,True,0.0,14,2.466540252893042
per_topo,Gyroid,0.02959989755235602,5708.604734182183,93533.85065304069,95563.69707758212,0.02170173055390453,88598.17597616892,103514.16485340416,81715.7143556017,113757.18949516304,True,True,0.0,14,2.4638420938638355
per_topo,Gyroid,0.0318768127486911,6196.634763762618,102535.5673580965,105175.58871979886,0.025747371665505354,97354.58338161587,114306.62477124609,90020.39019235066,125407.92923992015,True,True,0.0,14,2.4633703483513356
per_topo,Gyroid,0.03415372794502618,6587.0557508762495,116322.75383314301,112450.48550285982,0.03328900152963787,105588.9753305368,121585.85422608782,97443.53520928975,132596.13137970542,True,True,0.0,14,2.4542185177341462
per_topo,Gyroid,0.03643064314136126,7188.11783023648,119786.0396792155,127323.35693355161,0.06292316929853338,117302.86552031565,138558.3957793875,107348.82189959455,152788.19173815264,True,True,0.0,14,2.4672882434692207
per_topo,Gyroid,0.03870755833769634,7703.348326420853,129523.40487451319,135645.12429934758,0.04726342262825258,125000.87725130844,148827.34308142163,114694.65514343543,162306.13197846804,True,True,0.0,14,2.4628109602312853
per_topo,Gyroid,0.04098447353403142,8234.92604082161,140774.7644628099,140608.80471234513,0.0011789027038905944,130780.08997827672,152878.50407025026,121204.72667749382,168331.9671849614,True,True,0.0010000000000000009,14,2.4578606557512592
pooled,Diamond,0.00432,916.7976264300595,4474.303777708397,4974.024058754825,0.11168671281018146,4654.636733793108,5333.404272807706,4326.5349158529525,5770.6672420571285,False,True,0.0,29,2.4823431443822175
pooled,Diamond,0.0064800000000000005,1365.6343461013616,9832.287713091027,10233.698237642006,0.04082575045241273,9492.731692608371,11056.797164357122,8770.301982138131,12025.393766088413,True,True,0.0,29,2.4746023630259097
