topology,case,included,quality_valid,exclusion_reason,measured_dP_Pa,predicted_dP_Pa,relative_error,mdot_kg_s,u_mps,u_min_mps,u_max_mps,A_flow_m2,L_flow_m,dp_nonphysical,duplicate_row
Diamond,工况18,True,True,included,13983.81737107406,14328.433798842918,0.024643945113421495,0.149317,0.25405479940574704,0.1,0.25405479940574704,0.000594,0.182,False,False
Gyroid,工况1,False,False,dp_nonphysical,-48.38450305288757,82.67463441656068,,0.010773649900000001,0.016688753122856392,0.1,0.2232167044622796,0.00065,0.182,True,False
Gyroid,工况2,False,True,outside_velocity_window,171.55909493647005,257.1321159624466,0.4987961789939792,0.0214307379,0.033137784072269784,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况3,False,True,outside_velocity_window,438.118473971178,500.86207168767896,0.1432114860343201,0.031804747,0.049179520956641534,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况4,False,True,outside_velocity_window,767.855737376866,825.8907649526332,0.0755806393711731,0.0423785765,0.0655491463678702,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况5,False,True,outside_velocity_window,1292.29864520102,1293.7424903561318,0.001117268953638284,0.05436780049999999,0.08410336745827832,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况6,True,True,included,1721.6182331603409,1761.525346386455,0.023180001499436775,0.0648583715,0.10053161923455144,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况7,True,True,included,2320.225884865534,2324.8099373259906,0.001975692319595934,0.07529898740000002,0.11676494124320387,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况8,True,True,included,3007.6499021574587,2983.007318091071,-0.00819330203582247,0.0859394237,0.13328641351752687,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况9,True,True,included,3802.6033192918044,3757.518706562114,-0.011856249244027617,0.0968462872,0.1500818292574822,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况10,True,True,included,4619.609278602805,4598.12067904662,-0.004651605419470406,0.10763658879999997,0.1667967214317654,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况11,True,True,included,5599.780694970186,5568.021515901283,-0.005671504081834811,0.11880987950000002,0.1840135127125129,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况12,True,True,included,5999.582425533075,6009.624358159217,0.0016737719250934369,0.12347235549999999,0.19112207914264895,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况13,True,True,included,6561.313374326031,6503.059067339019,-0.008878452173151419,0.1289008097,0.199724614477384,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况14,True,True,included,7016.491676050895,7072.494474873534,0.007981595562037258,0.13397957820000003,0.20712237875228182,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况15,True,True,included,7717.920752605147,7730.262384579362,0.001599087677863098,0.140040797,0.21634048621837182,0.1,0.2232167044622796,0.00065,0.182,False,False
Gyroid,工况16,True,True,included,8238.92561983471,8263.898491091446,0.0030310834699873723,0.14460336280000002,0.2232167044622796,0.1,0.2232167044622796,0.00065,0.182,False,False
