topo,sheet,case,mdot,T_bar_C,rho,mu,u,Re_ref,dp_meas,dp_pred_spec,gamma_hx,darcy_frac,dp_nonphysical,dup_row,excluded,g_spec,K_dev,cF_dev
Diamond,D_7_6,工况16,0.1327502,43.65501013285291,990.0342098545594,0.0006085289715022086,0.22573481093952927,954.4952229019523,11246.987165052917,4437.47581223082,2.534546134100233,0.16488874827593017,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况17,0.1410668,43.47578260398586,990.1056361776846,0.0006105249947215863,0.23985945197020972,1010.9768263137062,12440.837846620452,4964.375687424508,2.5060226360657833,0.15712412370985127,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Diamond,D_7_6,工况18,0.149317,45.08884742148166,989.4535409817353,0.0005929343067223388,0.25405479940574704,1101.8500893745047,13983.81737107406,5493.5747407438475,2.5454859596905393,0.14605827535154162,False,False,False,2.146549395480179,3.416836241943028e-08,188.02724494610567
Gyroid,G_7_6,工况1,0.010773649900000001,35.046587209906136,993.1746175392585,0.0007178162640126908,0.016688753122856392,60.012606169144156,-48.38450305288757,59.488494885692006,-0.8133421957617029,0.7152037427065564,True,False,True,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况2,0.0214307379,29.27615471036887,994.9478193259797,0.0008097549889822942,0.033137784072269784,105.8221096503472,171.55909493647005,162.21985836141647,1.0575714753384033,0.5874875309330765,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况3,0.031804747,29.324566885964714,994.9340507635042,0.0008089078462296286,0.049179520956641534,157.21204610976125,438.118473971178,288.67535944906456,1.5176857311525473,0.4894397095932497,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况4,0.0423785765,30.342835178093992,994.6401076545154,0.0007914072322114836,0.0655491463678702,214.11114441865377,767.855737376866,445.99804726877204,1.721657173342135,0.4131042594622402,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况5,0.05436780049999999,30.739234268611995,994.523436192887,0.0007847549781814028,0.08410336745827832,277.01329112148557,1292.29864520102,665.2678148159584,1.9425239225777444,0.3523518260001644,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况6,0.0648583715,36.91163718618088,992.544542301634,0.0006916016402203816,0.10053161923455144,374.97554778407164,1721.6182331603409,861.333119038618,1.9987832757225628,0.2866903803607917,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况7,0.07529898740000002,38.12984918321462,992.1179659459006,0.0006752932256279577,0.11676494124320387,445.85091864948674,2320.225884865534,1108.5268398839903,2.0930714542810267,0.25262959186251377,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况8,0.0859394237,38.578691758910566,991.9578035807384,0.0006694390601271434,0.13328641351752687,513.3036011324718,3007.6499021574587,1396.241578417391,2.1541042385849614,0.22696659344414505,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况9,0.0968462872,36.3016508950285,992.7536780244304,0.0007000052562912495,0.1500818292574822,553.1903525462725,3802.6033192918044,1742.7187801011587,2.181994801864175,0.21410542882591518,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况10,0.10763658879999997,36.183605172845205,992.7938066081404,0.0007016503453237255,0.1667967214317654,613.3835225997531,4619.609278602805,2107.3736873038947,2.1921168070163115,0.1972387652618148,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况11,0.11880987950000002,34.60204043650583,993.3206931686965,0.0007242983729671255,0.1840135127125129,655.8854075895628,5599.780694970186,2533.4351671240724,2.210350897326098,0.18684565620247975,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况12,0.12347235549999999,32.76853833594572,993.9064646645054,0.0007520405557203902,0.19112207914264895,656.4798411131943,5999.582425533075,2734.1015135076423,2.194352475902064,0.18670805843918703,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况13,0.1289008097,35.83441589740596,992.9118577542966,0.000706552891194199,0.199724614477384,729.4640447806744,6561.313374326031,2927.060608094236,2.2416048906476185,0.17122616485988582,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况14,0.13397957820000003,28.477783343879764,995.1721742560821,0.0008239284850358193,0.20712237875228182,650.1925835817058,7016.491676050895,3220.943126741482,2.178396637244955,0.18817375944545622,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况15,0.140040797,25.861110059854582,995.8717564428956,0.0008732104823779074,0.21634048621837182,641.2517393231044,7717.920752605147,3525.719462114191,2.189034276702523,0.1902981490494943,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
Gyroid,G_7_6,工况16,0.14460336280000002,22.716272727272667,996.6400701771571,0.0009387752757386333,0.2232167044622796,615.899245996947,8238.92561983471,3785.725955372606,2.1763132664534885,0.19659150057514269,False,False,False,2.0110560222092086,5.1244329243731376e-08,167.3394393266497
