fluid,topo,Re,G,cF_meas,darcy_frac,A_used
water,Gyroid,513.3036011324718,132.21449800000002,838.9516862212288,0.10536472162240404,0.00065
water,Gyroid,553.1903525462725,148.994288,842.6725949543459,0.09812371168024572,0.00065
water,Gyroid,613.3835225997531,165.59475199999997,836.2813971952663,0.08997639388125318,0.00065
water,Gyroid,655.8854075895628,182.78443000000004,837.4402407189112,0.08453212402994942,0.00065
water,Gyroid,656.4798411131943,189.95747,830.7355673436526,0.08508571913107726,0.00065
water,Gyroid,729.4640447806744,198.308938,840.6907001530692,0.07638552430638976,0.00065
water,Gyroid,650.1925835817058,206.12242800000007,825.0136001177589,0.08638177099072368,0.00065
water,Gyroid,641.2517393231044,215.44738,830.7164469878039,0.08693246655605233,0.00065
water,Gyroid,615.899245996947,222.46671200000006,829.2590398377637,0.09033235408039736,0.00065
sco2,Gyroid,11948.373752519172,74.59206082717986,1736.0925388604342,0.003224521283520634,0.0006491520000000001
sco2,Gyroid,17876.701532859257,114.38970915830527,1523.8809539388951,0.002457212266780834,0.0006491520000000001
sco2,Gyroid,23595.23323855951,152.28502065925107,1547.3499505306354,0.0018345910374460406,0.0006491520000000001
sco2,Gyroid,30146.680545861545,190.4452163464966,1568.3587982018007,0.0014172573077639288,0.0006491520000000001
sco2,Gyroid,36466.888556053185,229.62212943999342,1529.2387707819062,0.0012018583573145042,0.0006491520000000001
sco2,Gyroid,42920.05237298586,270.35180014034586,1491.1694239031815,0.0010473871129537966,0.0006491520000000001
sco2,Gyroid,48961.25289670842,309.79207421978015,1480.1049931433415,0.0009251295667811864,0.0006491520000000001
sco2,Gyroid,11490.857656492979,74.56100970408868,1653.2964854640936,0.003519776349064916,0.0006491520000000001
sco2,Gyroid,17419.634741142774,114.75042533489209,1512.4722547063295,0.002540495232366003,0.0006491520000000001
sco2,Gyroid,23122.98115466558,152.04015734715784,1508.631708921207,0.0019199410485443162,0.0006491520000000001
sco2,Gyroid,29025.489788265593,190.278389267677,1514.760970321523,0.001523924922759463,0.0006491520000000001
sco2,Gyroid,34954.08418766187,229.70305409164106,1485.0183728259858,0.001291096604455296,0.0006491520000000001
sco2,Gyroid,41088.06823559087,270.8101149050505,1451.301464530174,0.0011240555378889572,0.0006491520000000001
sco2,Gyroid,11177.003307766738,74.77100212532443,1599.8566784496077,0.003738663605550838,0.0006491520000000001
sco2,Gyroid,16964.68953492124,113.9531292913128,1538.4529244034588,0.0025645092004862756,0.0006491520000000001
sco2,Gyroid,22416.267473343138,151.86437840713944,1511.8302665376657,0.001976169298813743,0.0006491520000000001
sco2,Gyroid,27990.371214840914,189.1167946098071,1514.1174288968514,0.0015808630617554773,0.0006491520000000001
sco2,Gyroid,33822.47678819058,229.70688205480627,1483.6180908008434,0.0013354931334760792,0.0006491520000000001
sco2,Gyroid,40529.40776987666,270.0367424627319,1451.5748026298197,0.0011393176151187126,0.0006491520000000001
sco2,Gyroid,10735.933233588448,74.35964627877733,1635.8665973352302,0.0038063232366765424,0.0006491520000000001
sco2,Gyroid,16428.703312818307,114.49877267526476,1531.2416371660029,0.0026603919336289764,0.0006491520000000001
sco2,Gyroid,21590.182226401834,151.86897580646138,1502.2111110506078,0.002064736634755704,0.0006491520000000001
sco2,Gyroid,27028.67122427312,189.43647323922667,1498.011022899826,0.0016545911327265975,0.0006491520000000001
sco2,Gyroid,32593.53570312007,229.47778019218953,1475.1737347029018,0.0013936997684171415,0.0006491520000000001
sco2,Gyroid,11361.007100874931,74.50456531243736,1646.4508028920545,0.00357461083590073,0.0006491520000000001
sco2,Gyroid,17135.662514748852,113.98940219347459,1514.160720260133,0.0025796152521061636,0.0006491520000000001
sco2,Gyroid,22949.44089031299,151.67246704153663,1525.205727314716,0.001913450528423687,0.0006491520000000001
sco2,Gyroid,28456.75181934889,188.9479477150749,1546.324421964868,0.0015226561666584295,0.0006491520000000001
sco2,Gyroid,34493.818324754866,229.71921767838083,1511.2859635284944,0.0012855914257595268,0.0006491520000000001
sco2,Gyroid,40587.11866755836,269.65091038428255,1490.240136824874,0.0011082137560797878,0.0006491520000000001
sco2,Gyroid,10916.08125885611,74.20951151353678,1349.7419894403995,0.004533760655788566,0.0006491520000000001
