topo,mdot,Re_ref,dp_meas,dp_pred_spec,gamma_hx,dp_over_pabs,u_in,g_spec,P_in,T_bar,G,K_dev,cF_dev,case,dp_floor,dup_row,excluded
Diamond,0.025920000000000002,5376.63108142294,81883.26089065683,78782.35738628721,1.039360379750573,0.35858129196215593,22.401504672081277,2.1465493954801844,228353.4103036771,358.22359440186335,43.63636363636364,3.416836241943028e-08,188.02724494610567,工况12,False,False,False
Diamond,0.028079999999999997,5805.114393549947,90676.31743421053,87582.40175523472,1.0353257688413517,0.3720953881688029,22.74231882027553,2.1465493954801844,243691.0542763158,359.8671820175459,47.272727272727266,3.416836241943028e-08,188.02724494610567,工况13,False,False,False
Diamond,0.03024,6259.46463853593,99710.73078793773,95151.71695599146,1.0479131010747273,0.38332341112130663,22.75988798211629,2.1465493954801844,260121.68287937742,359.25689749513595,50.90909090909091,3.416836241943028e-08,188.02724494610567,工况14,False,False,False
Diamond,0.032400000000000005,6740.392670147788,108443.83606959078,102296.52250184404,1.060093084470549,0.39279294883345806,22.698093004163855,2.1465493954801844,276083.96839010046,356.80864677775025,54.545454545454554,3.416836241943028e-08,188.02724494610567,工况15,False,False,False
Diamond,0.03456,7221.7597013040995,116867.33055618104,108312.22967487219,1.0789855486032303,0.3975345028614643,22.387806844339096,2.1465493954801844,293980.3456428732,354.66414658860657,58.18181818181818,3.416836241943028e-08,188.02724494610567,工况16,False,False,False
Diamond,0.03672,7714.110678153627,124996.79376083189,114813.38062926967,1.0886953513235909,0.40247961986589637,22.22558586494548,2.1465493954801844,310566.7655979203,352.11303617851013,61.81818181818182,3.416836241943028e-08,188.02724494610567,工况17,False,False,False
Diamond,0.03888,8196.014122824838,133780.381930981,120571.62571957463,1.109551116463564,0.40672712846469605,21.929039754791987,2.1465493954801844,328919.24970918964,350.4788338503294,65.45454545454545,3.416836241943028e-08,188.02724494610567,工况18,False,False,False
Gyroid,0.002276915196335079,438.3174320169103,336.1203302897157,1003.808903984449,0.3348449380709248,0.0033010931959718565,3.911972502230636,2.011056022209202,101820.91517436253,350.81474190073226,3.5029464559001213,5.1244329243731376e-08,167.3394393266497,工况1,True,False,True
Gyroid,0.004553830392670158,881.4033657889896,3924.818677589801,3373.1911946834152,1.163532824281002,0.03702292641025805,7.5230599026715375,2.011056022209202,106010.49290642623,348.25250773036527,7.005892911800243,5.1244329243731376e-08,167.3394393266497,工况2,False,False,False
Gyroid,0.006830745589005235,1317.8227464653103,8209.55638630965,7031.676150996354,1.1675105920721898,0.07386417144327721,10.83771820879281,2.011056022209202,111143.95823980839,349.78201380582067,10.508839367700363,5.1244329243731376e-08,167.3394393266497,工况3,False,False,False
Gyroid,0.009107660785340315,1727.6149083465832,13787.235496365782,12019.004232685154,1.1471196140252617,0.11707872829393173,14.161004964319881,2.011056022209202,117760.37968017785,357.8966101872734,14.011785823600485,5.1244329243731376e-08,167.3394393266497,工况4,False,False,False
Gyroid,0.01366149117801047,2582.1960689994617,27921.858939620543,24131.210244306407,1.1570848978123056,0.2074940156643474,18.722313465890927,2.011056022209202,134567.0565496613,359.63682678638224,21.017678735400725,5.1244329243731376e-08,167.3394393266497,工况5,False,False,False
Gyroid,0.01821532157068063,3442.3565124922648,46042.5305387308,37615.73110888444,1.2240232791289822,0.29396835215423867,21.136325818571372,2.011056022209202,156624.10664728057,359.71809044417404,28.02357164720097,5.1244329243731376e-08,167.3394393266497,工况6,False,False,False
Gyroid,0.02049223676701571,3843.187231836563,56046.62363444229,45162.980076520456,1.2409859477714154,0.33215865496687663,22.403441881352784,2.011056022209202,168734.49719391277,363.48100762130355,31.52651810310109,5.1244329243731376e-08,167.3394393266497,工况7,False,False,False
Gyroid,0.022769151963350782,4271.345629767583,62309.807799404334,54480.508409189424,1.1437082659253288,0.3536369324999539,23.785575731721117,2.011056022209202,176197.11651415948,363.3489455762288,35.029464559001205,5.1244329243731376e-08,167.3394393266497,工况8,False,False,False
Gyroid,0.02504606715968586,4748.848474728925,73641.04089177358,60330.23723973133,1.2206323770806629,0.3875218602609738,23.764819190974382,2.011056022209202,190030.6755396471,358.1109864354148,38.53241101490133,5.1244329243731376e-08,167.3394393266497,工况9,False,False,False
Gyroid,0.02732298235602094,5222.185771720302,83789.60198831873,66928.50355969783,1.2519270196080419,0.41350009915028385,23.848071891114426,2.011056022209202,202635.02272551076,354.2415923390414,42.03535747080145,5.1244329243731376e-08,167.3394393266497,工况10,False,False,False
Gyroid,0.02959989755235602,5708.604734182183,93533.85065304069,73566.97517121173,1.2714108529725496,0.43546475395227424,23.93905438959137,2.011056022209202,214790.8637935178,349.94438519487767,45.538303926701566,5.1244329243731376e-08,167.3394393266497,工况11,False,False,False
Gyroid,0.0318768127486911,6196.634763762618,102535.5673580965,80737.17117095197,1.2699920726846974,0.4534919140287324,24.13843137676176,2.011056022209202,226102.30565566386,346.22123955067957,49.041250382601696,5.1244329243731376e-08,167.3394393266497,工况12,False,False,False
Gyroid,0.03415372794502618,6587.0557508762495,116322.75383314301,86560.06644745666,1.3438385459622166,0.47673432144022615,24.237119050923123,2.011056022209202,243999.11775122274,349.929726571629,52.54419683850181,5.1244329243731376e-08,167.3394393266497,工况13,False,False,False
Gyroid,0.03643064314136126,7188.11783023648,119786.0396792155,95696.57177311459,1.251727595458845,0.4833936852286175,24.54137550823153,2.011056022209202,247802.24347068905,339.3568152522897,56.04714329440194,5.1244329243731376e-08,167.3394393266497,工况14,False,False,False
Gyroid,0.03870755833769634,7703.348326420853,129523.40487451319,101976.13959696656,1.2701344195457862,0.49796960468586793,24.495260726048063,2.011056022209202,260103.03371070186,335.4694003811361,59.550089750302064,5.1244329243731376e-08,167.3394393266497,工况15,False,False,False
Gyroid,0.04098447353403142,8234.92604082161,140774.7644628099,106612.47451910088,1.3204342652940528,0.5129732609386007,24.221851644082133,2.011056022209202,274429.0495867769,331.2088360881538,63.05303620620218,5.1244329243731376e-08,167.3394393266497,工况16,False,False,False
