variant,topo,L,t,gamma_total,lo68,hi68,lo95,hi95,band95_ratio,s_shape,cF_dev,cF_eff
per_topo,Gyroid,6.0,0.4,3.4984624531621686,3.292796727537132,3.716885629833524,3.08182704985312,3.9719833458802336,1.2888404448489537,0.018133092611463873,192.2032548983558,672.4158706374554
per_topo,Gyroid,6.0,0.5,3.496905968007253,3.303028337470329,3.703056891324846,3.1087901871558774,3.9411999214172027,1.267760023722562,0.01103731982691735,195.36959307394758,683.1890959874357
per_topo,Gyroid,6.0,0.6,3.498710393040849,3.309736410845679,3.6968635502027256,3.1167563168799726,3.9222216883202323,1.2584306533937086,0.007268210880052162,206.88293074263603,723.8234599320109
per_topo,Gyroid,7.0,0.3,2.46931014947118,2.3138659684463136,2.6371577857889017,2.155261197707783,2.832061001126589,1.314022172411684,0.024919066115783484,147.21406241395027,363.5171784636512
per_topo,Gyroid,7.0,0.4,2.470613030234971,2.327364256331206,2.6226667983037264,2.181026982301085,2.798364951253262,1.283049212119722,0.016612710743855653,153.77998765078237,379.9308412793959
per_topo,Gyroid,7.0,0.5,2.4693153481714405,2.3336574998365203,2.6106417494823253,2.1996336966204013,2.7712201390468385,1.2598552855889795,0.008306355371927827,169.47682992599528,418.49173729570106
per_topo,Gyroid,7.0,0.6,2.468687664991377,2.3389150974124258,2.6063984286642814,2.2093241776987935,2.767559941892105,1.2526726361971756,0.0,167.3394393266495,413.1088097322726
per_topo,Gyroid,8.0,0.3,1.8254876690481394,1.7115511028349117,1.9519718774696624,1.5899417875189508,2.1031671451064344,1.3227950618169197,0.025702132325744486,126.44759958187653,230.82853381745227
per_topo,Gyroid,8.0,0.4,1.8272194811001454,1.7199940395559554,1.94039119539322,1.611057381423303,2.072666284446245,1.2865254263104706,0.017765750990777398,126.97662856549871,232.01416935929646
per_topo,Gyroid,8.0,0.5,1.8269411778142528,1.7253043084274573,1.9346644299054143,1.6235996026587094,2.059287815675535,1.2683470803413408,0.010422825412144506,125.10349946575754,228.55673466265583
per_topo,Gyroid,8.0,0.6,1.8268081724628837,1.7291895112010247,1.9295381568782919,1.628278224253215,2.0466722191498357,1.2569548549287457,0.006296010642247283,126.30842290319688,230.74125921045814
pooled,Diamond,6.0,0.3,3.8615248348133937,3.388764697846855,4.410929663407139,2.8721661748667695,5.213714104503912,1.8152550329876922,0.08031624232776588,182.7702938768178,705.7720288714743
pooled,Diamond,6.0,0.4,3.3879045079364607,3.03186165419148,3.7859904576210757,2.654442895043067,4.313837262773021,1.6251384691035256,0.056106610024872605,228.30910746463698,773.4894543823934
pooled,Diamond,6.0,0.5,2.9718926777020673,2.7051201112577226,3.267449576830299,2.446371236559029,3.617851055947972,1.4788642875954923,0.03415118493671297,236.99656463937364,704.3283550922993
pooled,Diamond,6.0,0.6,2.6074841304869945,2.3869323203310935,2.844076795442631,2.1812757192946615,3.115475468935391,1.4282813682732474,0.022488975386791555,264.7649469539083,690.3703974915468
pooled,Diamond,7.0,0.3,3.6637824096256106,3.223165800287324,4.167323160828909,2.7358404954476314,4.887301816687849,1.7863986679121806,0.07710346793565576,156.16263230959842,572.1459052967388
pooled,Diamond,7.0,0.4,3.214921367318587,2.8907236183382583,3.5708746072723905,2.559632723251562,4.028070383787958,1.5736907671156062,0.05140231195710383,169.2225072424245,544.0370543648949
pooled,Diamond,7.0,0.5,2.8170307482840644,2.5736969179734053,3.0788402729041895,2.342414311940657,3.3867810128068543,1.4458505463967022,0.025701155978551916,214.23622095821227,603.5100218354629
pooled,Diamond,7.0,0.6,2.4695572226879214,2.2789987123909508,2.6755582090036985,2.1002110465374657,2.907713880744455,1.3844865188849886,0.0,188.02724494610598,464.344040818767
pooled,Diamond,8.0,0.3,3.4937171093405954,3.065946172685583,3.984105880481795,2.6105707127698947,4.703038797600639,1.801536642771332,0.07952639663333201,92.19287551124273,322.0958265329363
pooled,Diamond,8.0,0.4,3.0637323198338486,2.747676083986137,3.4157554736315707,2.4166175761264634,3.88242498473272,1.6065533177805331,0.054969997892602866,112.92143569678794,345.96105214628886
pooled,Diamond,8.0,0.5,2.6892967151438345,2.4503920642529136,2.9500851865353495,2.217796734618951,3.252938049354221,1.4667430962347061,0.03224984360289518,145.55540885265714,391.44168289886863
pooled,Diamond,8.0,0.6,2.356265572897601,2.163801842445203,2.5663471358704446,1.9772494675881127,2.8083288689823362,1.4203209635494252,0.019480836577964105,121.84956908768234,287.1099447137136
pooled,Gyroid,6.0,0.3,3.2769911911941385,2.9989642632218603,3.5849616321467823,2.7320913373035167,3.9343531283900317,1.4400518294066653,0.0259574025179658,182.85202653569362,599.2044802494648
pooled,Gyroid,6.0,0.4,3.275215893986877,3.006960317353339,3.56562985557411,2.7542117614336816,3.892452439969844,1.4132727535604093,0.018133092611463873,192.2032548983558,629.507155319106
pooled,Gyroid,6.0,0.5,3.276054057684229,3.0159818804232197,3.553674622200028,2.7676169948789258,3.865774607405899,1.396788144659812,0.01103731982691735,195.36959307394758,640.0413481380226
